Codigo,Familia,Genero,Especie ,Nombre completo ,100_A.,100_B.,102_B.,201_A.,201_B.,201_C.,204_A.,207_A.,230_A.,231_A.,232_A.,232_B.,234_A.,301_B.,301_C.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,332_B.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
FC_0106,Salicaceae,Lunania,mexicana,Lunania mexicana,unisexual,unisexual,N/A,present,one to five (1-5),one to six (1-6),free (<5%),actinomorphic,whorled,one (1),dimerous,N/A,undifferentiated,six to ten (6-10),more than six (>6),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,two (2),pentamerous,pentamerous,whorled,three (3),fused (>5%),N/A,absent,N/A,N/A
FC_0107,Magnoliaceae,Magnolia,schiedeana,Magnolia schiedeana,bisexual,bisexual,,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,spiral,more than two (>2),trimerous,trimerous,differentiated,more than ten (>10),more than six (>6),laminar (wide),introrse,,longitudinal slit,spiral,N/A,N/A,N/A,spiral,more than five (>5),free (<5%),one (1),absent,N/A,N/A
FC_0108,Sapotaceae,Manilkara,zapota,Manilkara zapota,bisexual,bisexual,superior,present,more than ten (>10),more than six (>6),free (<5%),actinomorphic,whorled,more than two (>2),trimerous,trimerous,differentiated,six to ten (6-10),one to six (1-6),typical (narrow),introrse,basifixed,longitudinal slit,spiral,N/A,trimerous,trimerous,whorled,more than five (>5),fused (>5%),one (1),absent,N/A,N/A
FC_0109,Icacinaceae,Mappia,racemosa,Mappia racemosa,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),introrse,basifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,one (1),N/A,two (2),absent,N/A,N/A
FC_0110,Sabiaceae,Meliosma,occidentalis,Meliosma occidentalis,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),laminar (wide),introrse,basifixed,H-valvate,whorled,one (1),dimerous,N/A,whorled,one (1),N/A,one (1),absent,N/A,N/A
FC_0111,Melastomataceae,Miconia,argentea,Miconia argentea,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),N/A,N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
FC_0112,Malvaceae,Mortoniodendron,guatemalense,Mortoniodendron guatemalense,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,basifixed,longitudinal slit,whorled,two (2),N/A,N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
FC_0113,Anacardiaceae,Mosquitoxylum,jamaicense,Mosquitoxylum jamaicense,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,one to five (1-5),one to six (1-6),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
FC_0114,Muntingiaceae ,Muntingia,calabura,Muntingia calabura,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,more than ten (>10),more than six (>6),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),N/A,N/A,whorled,four or five (4-5),fused (>5%),three or more (>2),absent,N/A,N/A
FC_0115,Fabaceae,Myroxylon,balsamum,Myroxylon balsamum,bisexual,bisexual,superior,present,six to ten (6-10),more than six (>6),free (<5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,one (1),N/A,two (2),absent,N/A,N/A
FC_0116,Lauraceae,Mespilodaphne,macrophylla,Mespilodaphne macrophylla,bisexual,bisexual,superior,present,six to ten (6-10),one to six (1-6),free (<5%),actinomorphic,whorled,two (2),trimerous,trimerous,undifferentiated,six to ten (6-10),more than six (>6),typical (narrow),latrorse,basifixed,longitudinal slit,whorled,more than two (>2),trimerous,trimerous,whorled,one (1),N/A,,present,glandular,interestaminal
FC_0117,Euphorbiaceae,Omphalea,oleifera,Omphalea oleifera,unisexual,bisexual,superior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),tetramerous,tetramerous,undifferentiated,one to five (1-5),one to six (1-6),typical (narrow),,,longitudinal slit,whorled,one (1),dimerous,trimerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
FC_0118,Euphorbiaceae,Omphalea,oleifera,Omphalea oleifera,unisexual,unisexual,N/A,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),tetramerous,tetramerous,undifferentiated,one to five (1-5),one to six (1-6),typical (narrow),,,longitudinal slit,whorled,one (1),dimerous,trimerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
FC_0119,Juglandaceae,Oreomunnea,mexicana,Oreomunnea mexicana,unisexual,unisexual,inferior,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),tetramerous,tetramerous,undifferentiated,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,two (2),fused (>5%),two (2),absent,N/A,N/A
FC_0120,Juglandaceae,Oreomunnea,mexicana,Oreomunnea mexicana,unisexual,unisexual,N/A,present,one to five (1-5),one to six (1-6),fused (>5%),actinomorphic,whorled,one (1),tetramerous,tetramerous,undifferentiated,more than ten (>10),more than six (>6),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),N/A,N/A,N/A,N/A,N/A,N/A,absent,N/A,N/A
FC_0121,Lauraceae,Persea,schiedeana,Persea schiedeana,bisexual,bisexual,inferior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,one (1),trimerous,trimerous,undifferentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,basifixed,longitudinal slit,whorled,two (2),trimerous,trimerous,whorled,one (1),N/A,three or more (>2),present,,interestaminal
FC_0122,Fabaceae,Piscidia,piscipula,Piscidia piscipula,bisexual,bisexual,superior,present,more than ten (>10),more than six (>6),fused (>5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),,,,whorled,one (1),,,whorled,one (1),N/A,one (1),present,discoidal,interestaminal
FC_0123,Fabaceae,Platymiscium,pinnatum,Platymiscium pinnatum,bisexual,bisexual,,present,six to ten (6-10),more than six (>6),fused (>5%),zygomorphic,whorled,two (2),pentamerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,pentamerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
FC_0124,Burseraceae,Protium,copal,Protium copal,unisexual,bisexual,inferior,present,six to ten (6-10),more than six (>6),free (<5%),actinomorphic,whorled,two (2),tetramerous,pentamerous,differentiated,six to ten (6-10),more than six (>6),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,one (1),N/A,N/A,whorled,four or five (4-5),fused (>5%),,present,discoidal,
