Numero,Orden,Familia,Genero,Especie ,Nombre completo ,,100_A.,100_B.,102_B.,201_A.,201_B.,204_A.,207_A.,230_A.,231_A.,232_A.,234_A.,tepalos,caliz,corola,301_B.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
122,Fabales,Fabaceae,Inga,sapindoides,Inga sapindoides,Inga sapindoides,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),,basifixed,,whorled,more than two (>2),N/A,whorled,one (1),N/A,one (1),present,glandular,
123,Fabales,Fabaceae,Inga,vera,Inga vera,Inga vera,bisexual,bisexual,superior,present,six to ten (6-10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,more than ten (>10),typical (narrow),extrorse,dorsifixed,,whorled,one (1),N/A,whorled,more than five (>5),fused (>5%),three or more (>2),present,glandular,intraestaminal
124,Fabales,Fabaceae,Leucaena,leucocephala,Leucaena leucocephala,Leucaena leucocephala,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,,pentamerous,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
125,Fabales,Fabaceae,Lonchocarpus,cruentus,Lonchocarpus cruentus,Lonchocarpus cruentus,bisexual,bisexual,Superior,present,one to five (1-5),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,,5,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,one (1),N/A,one (1),absent,N/A,N/A
126,Fabales,Fabaceae,Lonchocarpus,guatemalensis,Lonchocarpus guatemalensis,Lonchocarpus guatemalensis,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
127,Fabales,Fabaceae,Lonchocarpus,heptaphyllus,Lonchocarpus heptaphyllus,Lonchocarpus heptaphyllus,bisexual,bisexual,Superior,present,six to ten (6-10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,3,5,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,one (1),N/A,,present,,interestaminal
128,Fabales,Fabaceae,Lonchocarpus,santarosanus,Lonchocarpus santarosanus,Lonchocarpus santarosanus,bisexual,bisexual,Superior,present,one to five (1-5),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,3,5,six to ten (6-10),typical (narrow),,dorsifixed,longitudinal slit,whorled,one (1),N/A,whorled,one (1),N/A,two (2),absent,N/A,N/A
129,Fabales,Fabaceae,Muellera,unifoliolata,Muellera unifoliolata,Muellera unifoliolata,bisexual,bisexual,,present,six to ten (6-10),free (<5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),,basifixed,longitudinal slit,whorled,one (1),N/A,whorled,one (1),N/A,one (1),absent,N/A,N/A
130,Fabales,Fabaceae,Myroxylon,balsamum,Myroxylon balsamum,Myroxylon balsamum,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,,5,six to ten (6-10),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,two (2),absent,N/A,N/A
131,Fabales,Fabaceae,Piscidia,piscipula,Piscidia piscipula,Piscidia piscipula,bisexual,bisexual,superior,present,more than ten (>10),fused (>5%),zygomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),,,,whorled,one (1),,whorled,one (1),N/A,one (1),present,discoidal,interestaminal
