Numero,Familia,Genero,Especie ,Nombre completo ,,100_A.,100_B.,102_B.,201_A.,201_B.,204_A.,207_A.,230_A.,231_A.,232_A.,234_A.,tepalos,caliz,corola,301_B.,305_A.,311_A.,312_A.,313_A.,330_A.,331_A.,332_A.,400_A.,401_B.,403_A.,411_A.,500_A.,501_A.,502_A.
204,Rubiaceae,Genipa,americana,Genipa americana,Genipa americana,unisexual,bisexual,inferior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,,6,one to five (1-5),typical (narrow),introrse,basifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
205,Rubiaceae,Genipa,americana,Genipa americana,Genipa americana,unisexual,bisexual,inferior,present,more than ten (>10),fused (>5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,,5,one to five (1-5),typical (narrow),introrse,basifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,one (1),N/A,three or more (>2),absent,N/A,N/A
206,Rutaceae,Esenbeckia,pentaphylla,Esenbeckia pentaphylla,Esenbeckia pentaphylla,bisexual,bisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),pentamerous,whorled,four or five (4-5),fused (>5%),one (1),present,discoidal,interestaminal
207,Sabiaceae,Meliosma,occidentalis,Meliosma occidentalis,Meliosma occidentalis,bisexual,bisexual,Superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),laminar (wide),introrse,basifixed,H-valvate,whorled,one (1),dimerous,whorled,one (1),N/A,one (1),absent,N/A,N/A
208,Salicaceae,Lunania,mexicana,Lunania mexicana,Lunania mexicana,unisexual,unisexual,Superior,present,one to five (1-5),free (<5%),actinomorphic,whorled,one (1),dimerous,undifferentiated,0,2,0,six to ten (6-10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,two (2),pentamerous,whorled,three (3),fused (>5%),three or more (>2),absent,N/A,N/A
209,Salicaceae,Lunania,mexicana,Lunania mexicana,Lunania mexicana,unisexual,unisexual,N/A,present,one to five (1-5),free (<5%),actinomorphic,whorled,one (1),dimerous,undifferentiated,0,2,0,six to ten (6-10),typical (narrow),extrorse,dorsifixed,longitudinal slit,whorled,two (2),pentamerous,whorled,three (3),fused (>5%),N/A,absent,N/A,N/A
210,Salicaceae,Lunania,mexicana,Maclura tinctoria,Maclura tinctoria,unisexual,unisexual,,present,one to five (1-5),free (<5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,4,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,one (1),N/A,one (1),absent,N/A,N/A
211,Salicaceae,Lunania,mexicana,Maclura tinctoria,Maclura tinctoria,unisexual,unisexual,N/A,present,one to five (1-5),free (<5%),actinomorphic,whorled,one (1),tetramerous,undifferentiated,0,4,4,one to five (1-5),typical (narrow),extrorse,dorsifixed,longitudinal slit,,,tetramerous,N/A,N/A,N/A,N/A,absent,N/A,N/A
212,Sapindaceae,Cupania,dentata,Cupania dentata,Cupania dentata,unisexual,unisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,whorled,three (3),fused (>5%),one (1),present,discoidal,intraestaminal
213,Sapindaceae,Cupania,dentata,Cupania dentata,Cupania dentata,unisexual,unisexual,N/A,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,six to ten (6-10),typical (narrow),introrse,dorsifixed,longitudinal slit,whorled,one (1),,N/A,N/A,N/A,N/A,present,discoidal,intraestaminal
214,Sapotaceae,Chrysophyllum,mexicanum,Chrysophyllum mexicanum,Chrysophyllum mexicanum,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,4,one to five (1-5),typical (narrow),,,,whorled,one (1),pentamerous,whorled,four or five (4-5),fused (>5%),one (1),present,glandular,intraestaminal
215,Sapotaceae,Chrysophyllum,mexicanum,Chrysophyllum mexicanum,Chrysophyllum mexicanum,bisexual,bisexual,superior,present,six to ten (6-10),free (<5%),actinomorphic,whorled,two (2),pentamerous,differentiated,0,5,5,one to five (1-5),typical (narrow),,,,whorled,one (1),pentamerous,whorled,four or five (4-5),fused (>5%),one (1),present,glandular,intraestaminal
216,Sapotaceae,Manilkara,zapota,Manilkara zapota,Manilkara zapota,bisexual,bisexual,Superior,present,more than ten (>10),free (<5%),actinomorphic,whorled,more than two (>2),trimerous,differentiated,0,6,6,six to ten (6-10),typical (narrow),introrse,basifixed,longitudinal slit,spiral,N/A,trimerous,whorled,more than five (>5),fused (>5%),one (1),absent,N/A,N/A
